Year, GeoMagnetic North
1900,78.7 -68.8
1905,78.7 -68.7
1910,78.7 -68.7
1915,78.6 -68.6
1920,78.6 -68.4
1925,78.6 -68.3
1930,78.6 -68.3
1935,78.6 -68.4
1940,78.5 -68.5
1945,78.5 -68.5
1950,78.5 -68.8
1955,78.5 -69.2
1960,78.6 -69.5
1965,78.6 -69.9
1970,78.7 -70.2
1975,78.8 -70.5
1980,78.9 -70.8
1985,79.0 -70.9
1990,79.2 -71.1
1995,79.4 -71.4
2000,79.6 -71.6
2005,79.8 -71.8
2010,80.1 -72.2
2015,80.4 -72.6
2016,80.4 -72.6
2017,80.5 -72.6
2018,80.5 -72.7
2019,80.6 -72.7
2020,80.7 -72.7
2021,80.7 -72.7
2022,80.7 -72.7
2023,80.8 -72.7
2024,80.8 -72.6
2025,80.9 -72.6
